drug;hits;possible_hits;ndcg;recall;total_known_targets
D01352;0;0;nan;nan;0 
D01358;9;10;0.936379;0.529412;17 
D01386;8;8;1.000000;1.000000;8 
D01390;0;10;0.000000;0.000000;16 
D01441;0;0;nan;nan;0 
D01454;0;0;nan;nan;0 
D01462;5;10;0.642187;0.384615;13 
D01603;3;3;0.906025;1.000000;3 
D01652;0;0;nan;nan;0 
D01692;2;2;1.000000;1.000000;2 
D01699;4;4;1.000000;1.000000;4 
D01712;1;1;0.630930;1.000000;1 
D01713;0;1;0.000000;0.000000;1 
D01717;0;0;nan;nan;0 
D01745;1;1;0.630930;1.000000;1 
D01782;0;0;nan;nan;0 
D01828;0;0;nan;nan;0 
D01871;0;0;nan;nan;0 
D01891;1;1;1.000000;1.000000;1 
D01925;0;0;nan;nan;0 
D01964;0;0;nan;nan;0 
D01965;0;0;nan;nan;0 
D01973;0;0;nan;nan;0 
D01994;0;0;nan;nan;0 
D02007;0;0;nan;nan;0 
D02066;0;10;0.000000;0.000000;16 
D02070;0;0;nan;nan;0 
D02076;0;0;nan;nan;0 
D02082;0;0;nan;nan;0 
D02147;2;2;1.000000;1.000000;2 
D02149;0;0;nan;nan;0 
D02150;0;0;nan;nan;0 
D02234;4;10;0.294095;0.266667;15 
D02237;0;1;0.000000;0.000000;1 
D02250;1;1;1.000000;1.000000;1 
D02278;0;0;nan;nan;0 
D02279;0;0;nan;nan;0 
D02327;0;0;nan;nan;0 
D02338;0;0;nan;nan;0 
D02340;9;10;0.936379;0.360000;25 
D02342;0;0;nan;nan;0 
D02349;8;8;0.991829;1.000000;8 
D02354;0;0;nan;nan;0 
D02356;0;1;0.000000;0.000000;1 
D02357;3;8;0.312500;0.375000;8 
D02358;1;1;1.000000;1.000000;1 
D02359;0;0;nan;nan;0 
D02361;0;0;nan;nan;0 
D02374;0;0;nan;nan;0 
D02566;9;10;0.930569;0.642857;14 
D02578;0;0;nan;nan;0 
D02588;0;0;nan;nan;0 
D02614;0;0;nan;nan;0 
D02671;0;0;nan;nan;0 
D02721;0;0;nan;nan;0 
D02725;1;1;1.000000;1.000000;1 
D02826;0;0;nan;nan;0 
D02884;0;0;nan;nan;0 
D02910;2;2;0.693426;1.000000;2 
D03165;6;10;0.708441;0.352941;17 
D03187;0;0;nan;nan;0 
D03210;0;0;nan;nan;0 
D03274;7;10;0.741670;0.333333;21 
D03365;0;0;nan;nan;0 
D03415;6;6;1.000000;1.000000;6 
D03442;0;0;nan;nan;0 
D03490;1;1;1.000000;1.000000;1 
D03503;0;0;nan;nan;0 
D03621;0;0;nan;nan;0 
D03642;0;0;nan;nan;0 
D03654;4;4;1.000000;1.000000;4 
D03858;0;0;nan;nan;0 
D03879;0;0;nan;nan;0 
D03880;1;1;1.000000;1.000000;1 
D03881;1;1;1.000000;1.000000;1 
D03966;0;0;nan;nan;0 
D04006;1;3;0.135652;0.333333;3 
D04034;7;10;0.741670;0.333333;21 
D04040;0;0;nan;nan;0 
D04375;2;2;1.000000;1.000000;2 
D04625;1;1;1.000000;1.000000;1 
D04716;0;0;nan;nan;0 
D04979;0;0;nan;nan;0 
D05113;2;2;1.000000;1.000000;2 
D05129;0;0;nan;nan;0 
D05246;0;0;nan;nan;0 
D05312;0;0;nan;nan;0 
D05341;0;0;nan;nan;0 
D05740;1;1;1.000000;1.000000;1 
D05792;0;0;nan;nan;0 
D05938;2;2;1.000000;1.000000;2 
D06056;0;0;nan;nan;0 
D06396;0;0;nan;nan;0 
