drug;hits;possible_hits;ndcg;recall;total_known_targets
D00611;4;4;0.910853;1.000000;4 
D00615;4;5;0.737245;0.800000;5 
D00616;1;2;0.386853;0.500000;2 
D00617;2;2;0.482476;1.000000;2 
D00618;0;0;nan;nan;0 
D00619;10;10;1.000000;0.081967;122 
D00629;0;0;nan;nan;0 
D00631;2;10;0.183410;0.040816;49 
D00633;0;3;0.000000;0.000000;3 
D00636;0;10;0.000000;0.000000;10 
D00638;1;4;0.112845;0.250000;4 
D00639;2;10;0.314880;0.200000;10 
D00640;0;1;0.000000;0.000000;1 
D00642;1;2;0.306574;0.500000;2 
D00647;0;1;0.000000;0.000000;1 
D00648;0;0;nan;nan;0 
D00649;6;10;0.727330;0.193548;31 
D00650;0;0;nan;nan;0 
D00651;0;0;nan;nan;0 
D00654;0;0;nan;nan;0 
D00656;0;0;nan;nan;0 
D00658;0;0;nan;nan;0 
D00677;0;0;nan;nan;0 
D00678;0;0;nan;nan;0 
D00694;10;10;1.000000;0.769231;13 
D00697;10;10;1.000000;0.769231;13 
D00704;9;10;0.933746;0.692308;13 
D00708;0;0;nan;nan;0 
D00709;0;1;0.000000;0.000000;1 
D00711;9;10;0.936379;0.500000;18 
D00726;2;2;0.693426;1.000000;2 
D00732;1;4;0.139056;0.250000;4 
D00733;6;6;1.000000;1.000000;6 
D00735;0;0;nan;nan;0 
D00738;0;0;nan;nan;0 
D00739;0;0;nan;nan;0 
D00740;4;10;0.494640;0.088889;45 
D00741;1;3;0.156426;0.333333;3 
D00759;1;4;0.117516;0.250000;4 
D00760;1;4;0.117516;0.250000;4 
D00761;0;0;nan;nan;0 
D00765;2;5;0.200137;0.400000;5 
D00771;0;0;nan;nan;0 
D00775;2;10;0.183410;0.074074;27 
D00779;0;0;nan;nan;0 
D00791;0;0;nan;nan;0 
D00798;0;1;0.000000;0.000000;1 
D00799;0;0;nan;nan;0 
D00809;2;7;0.216296;0.285714;7 
D00812;2;2;0.455605;1.000000;2 
D00816;2;2;0.455605;1.000000;2 
D00823;0;1;0.000000;0.000000;1 
D00831;0;0;nan;nan;0 
D00960;0;0;nan;nan;0 
D00963;0;0;nan;nan;0 
D00964;0;0;nan;nan;0 
D01071;10;10;1.000000;0.588235;17 
D01108;3;3;0.838547;1.000000;3 
D01111;1;1;0.630930;1.000000;1 
D01118;0;0;nan;nan;0 
D01242;0;0;nan;nan;0 
D01243;1;2;0.386853;0.500000;2 
D01253;10;10;1.000000;0.769231;13 
D01256;5;10;0.567043;0.151515;33 
D01275;0;0;nan;nan;0 
D01287;0;0;nan;nan;0 
D01295;0;0;nan;nan;0 
D01350;0;0;nan;nan;0 
D01448;0;0;nan;nan;0 
D01450;0;0;nan;nan;0 
D01453;5;10;0.423677;0.116279;43 
D01575;0;0;nan;nan;0 
D01599;1;1;0.630930;1.000000;1 
D01603;1;1;0.289065;1.000000;1 
D01712;0;0;nan;nan;0 
D01768;0;0;nan;nan;0 
D01799;1;1;0.630930;1.000000;1 
D01828;0;0;nan;nan;0 
D01854;1;1;0.630930;1.000000;1 
D01969;7;10;0.791727;0.280000;25 
D02041;0;0;nan;nan;0 
D02086;1;9;0.148297;0.111111;9 
D02087;0;0;nan;nan;0 
D02088;0;0;nan;nan;0 
D02092;0;0;nan;nan;0 
D02098;0;0;nan;nan;0 
D02101;0;0;nan;nan;0 
D02163;0;0;nan;nan;0 
D02173;4;4;0.859741;1.000000;4 
D02204;1;1;1.000000;1.000000;1 
D02207;3;4;0.447091;0.750000;4 
D02234;1;1;0.289065;1.000000;1 
D02237;2;8;0.152911;0.250000;8 
D02253;9;10;0.936379;0.333333;27 
D02261;0;1;0.000000;0.000000;1 
D02262;0;1;0.000000;0.000000;1 
D02272;1;2;0.306574;0.500000;2 
D02347;2;2;1.000000;1.000000;2 
D02356;1;10;0.220092;0.071429;14 
D02360;1;1;0.630930;1.000000;1 
D02362;1;1;1.000000;1.000000;1 
D02409;4;10;0.284449;0.093023;43 
D02461;0;10;0.000000;0.000000;41 
D02485;0;0;nan;nan;0 
D02546;0;0;nan;nan;0 
D02566;0;0;nan;nan;0 
D02630;0;0;nan;nan;0 
D02914;5;5;0.816570;1.000000;5 
D03037;1;1;0.333333;1.000000;1 
D03180;10;10;1.000000;0.588235;17 
D03274;1;1;0.430677;1.000000;1 
D03365;3;3;1.000000;1.000000;3 
D03450;0;0;nan;nan;0 
D03580;0;0;nan;nan;0 
D03742;4;10;0.527106;0.400000;10 
D03826;0;0;nan;nan;0 
D03830;1;2;0.306574;0.500000;2 
D03878;0;0;nan;nan;0 
D03991;2;10;0.305235;0.200000;10 
D04034;1;1;0.430677;1.000000;1 
D04048;0;0;nan;nan;0 
D04370;4;4;1.000000;1.000000;4 
D04790;0;0;nan;nan;0 
D04985;10;10;1.000000;0.714286;14 
D04999;1;1;1.000000;1.000000;1 
D05024;5;5;0.906825;1.000000;5 
D05077;6;6;0.949566;1.000000;6 
D05156;1;1;1.000000;1.000000;1 
D05453;0;5;0.000000;0.000000;5 
D05458;1;1;1.000000;1.000000;1 
D05461;0;0;nan;nan;0 
D06106;10;10;1.000000;0.666667;15 
D06172;6;6;0.949566;1.000000;6 
