"drug";"target"
"D00281";"hsa:3352"
"D00810";"hsa:1432"
"D01256";"hsa:2743"
"D00631";"hsa:6263"
"D04966";"hsa:32"
"D00136";"hsa:2915"
"D00418";"hsa:3762"
"D01969";"hsa:784"
"D02356";"hsa:114"
"D00279";"hsa:1557"
"D03879";"hsa:113"
"D04985";"hsa:2558"
"D01453";"hsa:339221"
"D00136";"hsa:112"
"D00688";"hsa:196883"
"D00542";"hsa:2558"
"D02409";"hsa:5136"
"D00319";"hsa:1572"
"D00598";"hsa:115"
"D00524";"hsa:5331"
"D00418";"hsa:23704"
"D00043";"hsa:1990"
"D00483";"hsa:111"
"D00524";"hsa:5330"
"D01453";"hsa:5136"
"D00639";"hsa:6330"
"D00281";"hsa:3354"
"D00136";"hsa:2912"
"D02461";"hsa:6330"
"D01969";"hsa:785"
"D00319";"hsa:1593"
"D00426";"hsa:1576"
"D00998";"hsa:1128"
"D04985";"hsa:2559"
"D01358";"hsa:108"
"D00279";"hsa:1571"
"D01453";"hsa:5029"
"D00827";"hsa:1432"
"D00631";"hsa:6330"
"D00418";"hsa:23630"
"D01453";"hsa:51302"
"D00279";"hsa:8435"
"D03274";"hsa:84695"
"D03415";"hsa:150"
"D02066";"hsa:778"
"D00619";"hsa:196883"
"D02110";"hsa:5739"
"D01969";"hsa:786"
"D00136";"hsa:2913"
"D00319";"hsa:1594"
"D00823";"hsa:4129"
"D00619";"hsa:150"
"D00615";"hsa:786"
"D01453";"hsa:5333"
"D02409";"hsa:10369"
"D00524";"hsa:115"
"D00631";"hsa:6328"
"D00711";"hsa:2563"
"D00354";"hsa:5310"
"D01358";"hsa:107"
"D01969";"hsa:782"
"D02409";"hsa:10858"
"D02409";"hsa:1140"
"D00295";"hsa:113"
"D02253";"hsa:2562"
"D00136";"hsa:146"
"D00319";"hsa:1589"
"D04985";"hsa:2557"
"D03415";"hsa:147"
"D02066";"hsa:776"
"D00509";"hsa:155"
"D00279";"hsa:1562"
"D00524";"hsa:5338"
"D01969";"hsa:783"
"D00631";"hsa:6329"
"D00711";"hsa:2562"
"D00619";"hsa:147"
"D01256";"hsa:2892"
"D02253";"hsa:2563"
"D00418";"hsa:3766"
"D02409";"hsa:1594"
"D01390";"hsa:9127"
"D00515";"hsa:5327"
"D00506";"hsa:670"
"D03415";"hsa:148"
"D01969";"hsa:778"
"D00619";"hsa:8645"
"D00279";"hsa:1565"
"D00524";"hsa:5337"
"D00619";"hsa:148"
"D01453";"hsa:55503"
"D00279";"hsa:1583"
"D02193";"hsa:1129"
"D02409";"hsa:55584"
"D00683";"hsa:155"
"D00109";"hsa:2147"
"D00418";"hsa:3765"
"D00562";"hsa:2876"
"D02193";"hsa:4593"
"D02409";"hsa:1595"
"D02147";"hsa:111"
"D00812";"hsa:3269"
"D00631";"hsa:27092"
"D01352";"hsa:4048"
"D02409";"hsa:10846"
"D00631";"hsa:8912"
"D01390";"hsa:111"
"D02193";"hsa:1128"
"D00998";"hsa:8973"
"D00524";"hsa:5336"
"D00319";"hsa:6261"
"D00619";"hsa:8911"
"D00827";"hsa:239"
"D01453";"hsa:55584"
"D00279";"hsa:1584"
"D01969";"hsa:781"
"D00615";"hsa:783"
"D01256";"hsa:2890"
"D02147";"hsa:112"
"D00562";"hsa:2878"
"D00609";"hsa:4543"
"D00649";"hsa:10369"
"D00506";"hsa:5319"
"D00387";"hsa:2567"
"D00418";"hsa:3764"
"D02461";"hsa:6324"
"D01390";"hsa:112"
"D00632";"hsa:114"
"D00799";"hsa:1816"
"D02147";"hsa:109"
"D01969";"hsa:776"
"D00524";"hsa:5335"
"D00619";"hsa:8912"
"D00279";"hsa:1581"
"D02409";"hsa:55503"
"D00562";"hsa:2877"
"D00711";"hsa:57053"
"D00506";"hsa:5320"
"D03274";"hsa:196883"
"D00418";"hsa:3763"
"D02409";"hsa:1593"
"D00387";"hsa:2566"
"D02461";"hsa:6329"
"D02253";"hsa:57053"
"D04034";"hsa:113"
"D00524";"hsa:773"
"D01453";"hsa:22953"
"D02066";"hsa:554"
"D02409";"hsa:5332"
"D01969";"hsa:777"
"D02356";"hsa:115"
"D00524";"hsa:5333"
"D00319";"hsa:59284"
"D02409";"hsa:136"
"D02066";"hsa:775"
"D01390";"hsa:109"
"D00506";"hsa:5322"
"D00619";"hsa:3760"
"D00279";"hsa:1582"
"D02066";"hsa:108"
"D00506";"hsa:5321"
"D02461";"hsa:6328"
"D01453";"hsa:5330"
"D00631";"hsa:8911"
"D04034";"hsa:4129"
"D00791";"hsa:1813"
"D00279";"hsa:1588"
"D00418";"hsa:60598"
"D00387";"hsa:2569"
"D00373";"hsa:1544"
"D00418";"hsa:3769"
"D02409";"hsa:1589"
"D00812";"hsa:3350"
"D02066";"hsa:552"
"D02356";"hsa:113"
"D00528";"hsa:3710"
"D00619";"hsa:81033"
"D00097";"hsa:1432"
"D01390";"hsa:1734"
"D02409";"hsa:5330"
"D02409";"hsa:1814"
"D00791";"hsa:1814"
"D00387";"hsa:2570"
"D00631";"hsa:3708"
"D00418";"hsa:3768"
"D02409";"hsa:1588"
"D00619";"hsa:83795"
"D01453";"hsa:5332"
"D00281";"hsa:1621"
"D02409";"hsa:5331"
"D00604";"hsa:107"
"D02193";"hsa:55584"
"D03881";"hsa:196883"
"D00619";"hsa:3761"
"D01448";"hsa:1816"
"D00631";"hsa:5310"
"D00279";"hsa:1585"
"D00373";"hsa:1816"
"D00279";"hsa:64816"
"D00418";"hsa:3746"
"D00418";"hsa:57657"
"D00631";"hsa:3710"
"D02066";"hsa:107"
"D00418";"hsa:3790"
"D00319";"hsa:199974"
"D02409";"hsa:55775"
"D02068";"hsa:8973"
"D00619";"hsa:8514"
"D01453";"hsa:5331"
"D00480";"hsa:11255"
"D04034";"hsa:109"
"D02409";"hsa:5310"
"D04034";"hsa:111"
"D02068";"hsa:1544"
"D00740";"hsa:43"
"D00279";"hsa:1586"
"D00604";"hsa:108"
"D00354";"hsa:55800"
"D00791";"hsa:1816"
"D00418";"hsa:3745"
"D00549";"hsa:1135"
"D00604";"hsa:196883"
"D00387";"hsa:2564"
"D02409";"hsa:1585"
"D00524";"hsa:778"
"D00676";"hsa:3361"
"D00524";"hsa:777"
"D04034";"hsa:112"
"D00596";"hsa:3645"
"D00270";"hsa:109"
"D02066";"hsa:196883"
"D02409";"hsa:1813"
"D02068";"hsa:55584"
"D00524";"hsa:27092"
"D00632";"hsa:115"
"D00483";"hsa:109"
"D00506";"hsa:8856"
"D02409";"hsa:1586"
"D00235";"hsa:115"
"D01223";"hsa:3988"
"D00598";"hsa:114"
"D00676";"hsa:3362"
"D02092";"hsa:1565"
"D01390";"hsa:1733"
"D00528";"hsa:10369"
"D00319";"hsa:55503"
"D00524";"hsa:776"
"D02409";"hsa:1583"
"D00631";"hsa:55503"
"D00549";"hsa:1137"
"D00549";"hsa:57053"
"D00639";"hsa:6324"
"D01453";"hsa:59284"
"D00270";"hsa:111"
"D00235";"hsa:114"
"D00501";"hsa:4353"
"D03415";"hsa:151"
"D00799";"hsa:1812"
"D00563";"hsa:3350"
"D00319";"hsa:5310"
"D00279";"hsa:1543"
"D02409";"hsa:1584"
"D00354";"hsa:55515"
"D00631";"hsa:55515"
"D02110";"hsa:4953"
"D00549";"hsa:1136"
"D00270";"hsa:112"
"D02409";"hsa:1553"
"D00426";"hsa:1565"
"D00506";"hsa:2561"
"D02066";"hsa:9934"
"D02409";"hsa:1581"
"D02068";"hsa:1136"
"D01453";"hsa:64816"
"D00387";"hsa:2563"
"D00711";"hsa:8843"
"D01453";"hsa:9420"
"D02409";"hsa:8989"
"D00216";"hsa:10269"
"D00619";"hsa:6262"
"D00799";"hsa:1814"
"D01453";"hsa:9934"
"D01448";"hsa:1814"
"D03274";"hsa:113"
"D00823";"hsa:1557"
"D02409";"hsa:1548"
"D02409";"hsa:1582"
"D00506";"hsa:9388"
"D02068";"hsa:1137"
"D00542";"hsa:2555"
"D00791";"hsa:109"
"D00562";"hsa:2879"
"D00387";"hsa:2562"
"D02409";"hsa:1549"
"D01969";"hsa:773"
"D00513";"hsa:5972"
"D00799";"hsa:1813"
"D00619";"hsa:6263"
"D01390";"hsa:135"
"D00596";"hsa:3643"
"D00682";"hsa:240"
"D00542";"hsa:55879"
"D00775";"hsa:2556"
"D00631";"hsa:55800"
"D00562";"hsa:2882"
"D02409";"hsa:8973"
"D01297";"hsa:109"
"D01390";"hsa:136"
"D02409";"hsa:1551"
"D00566";"hsa:8288"
"D01453";"hsa:57053"
"D02237";"hsa:1135"
"D00524";"hsa:775"
"D01448";"hsa:1812"
"D00524";"hsa:774"
"D00563";"hsa:3269"
"D00619";"hsa:146"
"D02068";"hsa:1135"
"D00562";"hsa:2880"
"D00279";"hsa:38"
"D00319";"hsa:6262"
"D02237";"hsa:1621"
"D05792";"hsa:2908"
"D00565";"hsa:4023"
"D02237";"hsa:1136"
"D02721";"hsa:111"
"D02409";"hsa:785"
"D01453";"hsa:8843"
"D00619";"hsa:6324"
"D02234";"hsa:3355"
"D01448";"hsa:1813"
"D02564";"hsa:7054"
"D01297";"hsa:112"
"D01390";"hsa:134"
"D00279";"hsa:1544"
"D02409";"hsa:786"
"D00543";"hsa:2562"
"D01297";"hsa:111"
"D00810";"hsa:8288"
"D03670";"hsa:50"
"D00319";"hsa:6263"
"D02237";"hsa:1137"
"D00619";"hsa:8913"
"D02409";"hsa:5145"
"D01969";"hsa:6261"
"D00545";"hsa:2742"
"D02721";"hsa:112"
"D04966";"hsa:31"
"D00332";"hsa:55879"
"D02409";"hsa:23236"
"D02234";"hsa:3354"
"D00549";"hsa:55584"
"D00810";"hsa:3551"
"D02721";"hsa:109"
"D00515";"hsa:5972"
"D00279";"hsa:1545"
"D02409";"hsa:1544"
"D00799";"hsa:196883"
"D00810";"hsa:6300"
"D02409";"hsa:8913"
"D01453";"hsa:10924"
"D00281";"hsa:111"
"D02409";"hsa:5146"
"D00418";"hsa:27133"
"D00279";"hsa:8529"
"D00437";"hsa:5447"
"D04985";"hsa:2561"
"D00619";"hsa:3752"
"D02725";"hsa:115"
"D02234";"hsa:3352"
"D03274";"hsa:4129"
"D00640";"hsa:1576"
"D00043";"hsa:5335"
"D02409";"hsa:1545"
"D00649";"hsa:5972"
"D00619";"hsa:3753"
"D00619";"hsa:50801"
"D00281";"hsa:112"
"D01969";"hsa:59284"
"D00998";"hsa:1145"
"D02066";"hsa:1129"
"D00418";"hsa:27094"
"D02725";"hsa:114"
"D00650";"hsa:23632"
"D00281";"hsa:109"
"D00524";"hsa:55503"
"D04985";"hsa:2560"
"D00827";"hsa:6300"
"D02234";"hsa:3351"
"D00528";"hsa:1135"
"D00043";"hsa:5333"
"D00543";"hsa:2563"
"D00373";"hsa:1565"
"D00619";"hsa:51305"
"D00609";"hsa:153"
"D00998";"hsa:1144"
"D02066";"hsa:1128"
"D02409";"hsa:5144"
"D00604";"hsa:3351"
"D00542";"hsa:2567"
"D00136";"hsa:196883"
"D00506";"hsa:8513"
"D02409";"hsa:1543"
"D00528";"hsa:1134"
"D00354";"hsa:786"
"D00649";"hsa:6329"
"D00998";"hsa:1141"
"D02409";"hsa:5142"
"D00604";"hsa:3350"
"D00604";"hsa:1621"
"D00542";"hsa:2569"
"D00528";"hsa:8843"
"D00506";"hsa:80339"
"D00270";"hsa:113"
"D00506";"hsa:9420"
"D00619";"hsa:3750"
"D00995";"hsa:57053"
"D01453";"hsa:10846"
"D00354";"hsa:785"
"D00619";"hsa:6330"
"D03879";"hsa:107"
"D00217";"hsa:6898"
"D00598";"hsa:107"
"D02409";"hsa:5143"
"D00813";"hsa:240"
"D00604";"hsa:3354"
"D01453";"hsa:5024"
"D00688";"hsa:107"
"D00524";"hsa:5310"
"D00506";"hsa:9563"
"D00619";"hsa:3751"
"D00319";"hsa:1580"
"D00649";"hsa:5328"
"D00418";"hsa:169522"
"D00619";"hsa:9132"
"D00506";"hsa:81579"
"D00604";"hsa:3352"
"D01453";"hsa:5023"
"D02193";"hsa:1145"
"D00354";"hsa:27092"
"D01599";"hsa:6833"
"D00823";"hsa:1559"
"D00043";"hsa:5338"
"D03503";"hsa:115"
"D01448";"hsa:109"
"D00043";"hsa:5322"
"D00649";"hsa:6328"
"D00319";"hsa:10858"
"D00813";"hsa:4048"
"D00326";"hsa:1557"
"D03503";"hsa:114"
"D02193";"hsa:1144"
"D00418";"hsa:5972"
"D01453";"hsa:29785"
"D02356";"hsa:5972"
"D00043";"hsa:5337"
"D00319";"hsa:1577"
"D01453";"hsa:10858"
"D00619";"hsa:3758"
"D00995";"hsa:8843"
"D00319";"hsa:10369"
"D00043";"hsa:5321"
"D05024";"hsa:1576"
"D00354";"hsa:3708"
"D00418";"hsa:27345"
"D00688";"hsa:108"
"D01358";"hsa:109"
"D02193";"hsa:1141"
"D00775";"hsa:2555"
"D00775";"hsa:55879"
"D00619";"hsa:3759"
"D00823";"hsa:1565"
"D00043";"hsa:5336"
"D00319";"hsa:1579"
"D02068";"hsa:1141"
"D00043";"hsa:5320"
"D00827";"hsa:242"
"D00566";"hsa:4353"
"D01453";"hsa:1141"
"D00619";"hsa:8973"
"D00619";"hsa:1576"
"D01390";"hsa:2846"
"D02409";"hsa:5336"
"D02409";"hsa:7155"
"D01453";"hsa:1557"
"D03991";"hsa:6324"
"D00354";"hsa:8912"
"D00542";"hsa:2564"
"D00775";"hsa:2561"
"D01297";"hsa:115"
"D00598";"hsa:108"
"D02110";"hsa:239"
"D02409";"hsa:5337"
"D00319";"hsa:1573"
"D00506";"hsa:11343"
"D00619";"hsa:6328"
"D00649";"hsa:6330"
"D02409";"hsa:2846"
"D00043";"hsa:5319"
"D00619";"hsa:89822"
"D00208";"hsa:7150"
"D01453";"hsa:1555"
"D00354";"hsa:8911"
"D00604";"hsa:7054"
"D00542";"hsa:2566"
"D02066";"hsa:64805"
"D00418";"hsa:9312"
"D02409";"hsa:5338"
"D00397";"hsa:1139"
"D00319";"hsa:1576"
"D00319";"hsa:1545"
"D00358";"hsa:6324"
"D00619";"hsa:6329"
"D00619";"hsa:8989"
"D01453";"hsa:1145"
"D01297";"hsa:114"
"D00326";"hsa:1565"
"D02409";"hsa:5333"
"D01453";"hsa:1559"
"D00995";"hsa:1137"
"D00827";"hsa:240"
"D02110";"hsa:240"
"D00483";"hsa:4023"
"D00688";"hsa:150"
"D00619";"hsa:3754"
"D00619";"hsa:90134"
"D01453";"hsa:1144"
"D02234";"hsa:3357"
"D00649";"hsa:27092"
"D02409";"hsa:5335"
"D01453";"hsa:1558"
"D00619";"hsa:3755"
"D00319";"hsa:1543"
"D00326";"hsa:3350"
"D01453";"hsa:10"
"D00520";"hsa:1565"
"D00208";"hsa:116447"
"D00995";"hsa:1135"
"D00775";"hsa:2558"
"D02234";"hsa:3356"
"D00331";"hsa:5972"
"D00217";"hsa:51166"
"D00326";"hsa:1559"
"D00326";"hsa:4129"
"D01256";"hsa:2911"
"D00506";"hsa:1178"
"D02356";"hsa:8973"
"D00542";"hsa:2562"
"D00619";"hsa:3756"
"D00319";"hsa:1544"
"D00097";"hsa:5601"
"D00528";"hsa:1140"
"D00775";"hsa:2559"
"D01977";"hsa:5597"
"D00550";"hsa:1553"
"D00827";"hsa:247"
"D00995";"hsa:1136"
"D00775";"hsa:2560"
"D00208";"hsa:7156"
"D00279";"hsa:1376"
"D00775";"hsa:54207"
"D00418";"hsa:9992"
"D00542";"hsa:2563"
"D00619";"hsa:3757"
"D00281";"hsa:113"
"D01977";"hsa:5598"
"D00506";"hsa:1581"
"D00609";"hsa:154"
"D02409";"hsa:1139"
"D00279";"hsa:1384"
"D00418";"hsa:9424"
"D00354";"hsa:775"
"D00827";"hsa:246"
"D00816";"hsa:6530"
"D00483";"hsa:196883"
"D00775";"hsa:2557"
"D00519";"hsa:5972"
"D00358";"hsa:6330"
"D00509";"hsa:3350"
"D01977";"hsa:5595"
"D00279";"hsa:5740"
"D00604";"hsa:3355"
"D02066";"hsa:113"
"D01453";"hsa:1139"
"D00354";"hsa:774"
"D00397";"hsa:1137"
"D00283";"hsa:1814"
"D00509";"hsa:3351"
"D00619";"hsa:3790"
"D00566";"hsa:3551"
"D01453";"hsa:1551"
"D00509";"hsa:59340"
"D04034";"hsa:1816"
"D01977";"hsa:5596"
"D03879";"hsa:108"
"D01453";"hsa:5147"
"D00043";"hsa:2147"
"D00241";"hsa:55879"
"D00799";"hsa:114"
"D00397";"hsa:1136"
"D00437";"hsa:2806"
"D00326";"hsa:3351"
"D01358";"hsa:3350"
"D00208";"hsa:8940"
"D01453";"hsa:1549"
"D00506";"hsa:217"
"D00536";"hsa:2563"
"D01448";"hsa:115"
"D00397";"hsa:1135"
"D02237";"hsa:8843"
"D01453";"hsa:1140"
"D02110";"hsa:4353"
"D01358";"hsa:3351"
"D00241";"hsa:3763"
"D00506";"hsa:218"
"D02409";"hsa:27092"
"D02323";"hsa:57016"
"D00609";"hsa:155"
"D00740";"hsa:6330"
"D00809";"hsa:1557"
"D00640";"hsa:1565"
"D00319";"hsa:5972"
"D00279";"hsa:1431"
"D00639";"hsa:55800"
"D00619";"hsa:112"
"D00509";"hsa:1816"
"D00480";"hsa:59340"
"D00522";"hsa:5972"
"D00631";"hsa:6332"
"D02461";"hsa:2098"
"D00397";"hsa:55584"
"D00279";"hsa:51"
"D00524";"hsa:114"
"D00509";"hsa:3269"
"D00506";"hsa:219"
"D00995";"hsa:1140"
"D01453";"hsa:1553"
"D03991";"hsa:6330"
"D01390";"hsa:4953"
"D00998";"hsa:1129"
"D00799";"hsa:115"
"D01358";"hsa:113"
"D01453";"hsa:23236"
"D02409";"hsa:4593"
"D00354";"hsa:773"
"D00506";"hsa:51302"
"D00812";"hsa:151"
"D00506";"hsa:13"
"D02110";"hsa:5972"
"D01448";"hsa:114"
"D00235";"hsa:5972"
"D00688";"hsa:147"
"D02418";"hsa:5601"
"D00524";"hsa:108"
"D00279";"hsa:51004"
"D00995";"hsa:1139"
"D00536";"hsa:2562"
"D00354";"hsa:784"
"D00397";"hsa:1134"
"D02409";"hsa:1137"
"D01256";"hsa:2555"
"D00631";"hsa:6338"
"D02418";"hsa:6300"
"D00358";"hsa:1576"
"D00688";"hsa:148"
"D00217";"hsa:9945"
"D02066";"hsa:1735"
"D02418";"hsa:5602"
"D01453";"hsa:1545"
"D00354";"hsa:783"
"D00639";"hsa:55515"
"D01256";"hsa:2900"
"D02068";"hsa:1145"
"D00043";"hsa:1991"
"D01453";"hsa:4051"
"D00631";"hsa:6336"
"D00619";"hsa:240"
"D00354";"hsa:3710"
"D01453";"hsa:1548"
"D00354";"hsa:782"
"D00332";"hsa:2557"
"D01448";"hsa:2147"
"D01453";"hsa:1136"
"D00809";"hsa:1565"
"D01453";"hsa:1814"
"D02066";"hsa:9127"
"D02409";"hsa:1135"
"D00528";"hsa:1136"
"D00418";"hsa:89822"
"D00483";"hsa:3357"
"D03879";"hsa:196883"
"D00609";"hsa:5972"
"D02076";"hsa:107"
"D00043";"hsa:1636"
"D00354";"hsa:781"
"D00740";"hsa:6324"
"D01453";"hsa:1135"
"D02066";"hsa:4023"
"D00506";"hsa:1728"
"D01453";"hsa:1813"
"D02409";"hsa:1136"
"D00528";"hsa:1137"
"D00524";"hsa:107"
"D00483";"hsa:3356"
"D00354";"hsa:779"
"D00812";"hsa:7054"
"D02253";"hsa:2567"
"D04034";"hsa:1812"
"D00332";"hsa:2556"
"D00631";"hsa:8913"
"D00043";"hsa:5051"
"D00295";"hsa:114"
"D00279";"hsa:1593"
"D00509";"hsa:3352"
"D02066";"hsa:112"
"D00295";"hsa:115"
"D00483";"hsa:3360"
"D00354";"hsa:778"
"D00676";"hsa:3359"
"D00631";"hsa:6340"
"D02253";"hsa:2569"
"D02234";"hsa:3360"
"D00799";"hsa:2147"
"D04034";"hsa:1813"
"D00043";"hsa:5050"
"D00812";"hsa:153"
"D01453";"hsa:1129"
"D01453";"hsa:1137"
"D00598";"hsa:113"
"D00354";"hsa:777"
"D00483";"hsa:3358"
"D00509";"hsa:3354"
"D00528";"hsa:1139"
"D02066";"hsa:111"
"D00631";"hsa:6339"
"D00319";"hsa:1565"
"D02234";"hsa:3358"
"D01977";"hsa:5594"
"D00354";"hsa:6340"
"D04034";"hsa:1814"
"D02076";"hsa:108"
"D00536";"hsa:2557"
"D01453";"hsa:1128"
"D00043";"hsa:5049"
"D00619";"hsa:56659"
"D00354";"hsa:776"
"D00418";"hsa:10008"
"D02193";"hsa:57053"
"D00319";"hsa:5740"
"D00509";"hsa:3355"
"D01453";"hsa:1582"
"D00279";"hsa:1589"
"D00418";"hsa:9132"
"D02461";"hsa:9311"
"D01352";"hsa:240"
"D00524";"hsa:8912"
"D00963";"hsa:367"
"D00606";"hsa:5972"
"D00319";"hsa:1571"
"D00397";"hsa:8973"
"D01390";"hsa:554"
"D02253";"hsa:2560"
"D00536";"hsa:2558"
"D00631";"hsa:8989"
"D00477";"hsa:55515"
"D00043";"hsa:50487"
"D02066";"hsa:3991"
"D00619";"hsa:5972"
"D02193";"hsa:8843"
"D02066";"hsa:109"
"D02409";"hsa:1134"
"D01453";"hsa:1581"
"D02163";"hsa:111"
"D00524";"hsa:8911"
"D00319";"hsa:1559"
"D00493";"hsa:3359"
"D00536";"hsa:2556"
"D00477";"hsa:55800"
"D00632";"hsa:155"
"D01453";"hsa:1584"
"D00816";"hsa:1557"
"D01358";"hsa:3269"
"D02418";"hsa:5594"
"D00995";"hsa:590"
"D00418";"hsa:90134"
"D02066";"hsa:1734"
"D00418";"hsa:26251"
"D00319";"hsa:1562"
"D02709";"hsa:1576"
"D00281";"hsa:3362"
"D00354";"hsa:6339"
"D00524";"hsa:7054"
"D00619";"hsa:113"
"D03415";"hsa:146"
"D02066";"hsa:3988"
"D00279";"hsa:1594"
"D00241";"hsa:196883"
"D01390";"hsa:552"
"D01453";"hsa:1583"
"D01358";"hsa:111"
"D00584";"hsa:6241"
"D00319";"hsa:1557"
"D02253";"hsa:2564"
"D01256";"hsa:2918"
"D00279";"hsa:1595"
"D03880";"hsa:112"
"D01453";"hsa:5336"
"D00711";"hsa:1145"
"D00528";"hsa:1813"
"D02237";"hsa:7054"
"D01358";"hsa:112"
"D02163";"hsa:112"
"D00319";"hsa:1558"
"D02253";"hsa:2566"
"D01297";"hsa:107"
"D01453";"hsa:5169"
"D01453";"hsa:5335"
"D02409";"hsa:5027"
"D00619";"hsa:26251"
"D00418";"hsa:93107"
"D00097";"hsa:5603"
"D00649";"hsa:6324"
"D00649";"hsa:5327"
"D00528";"hsa:1814"
"D00549";"hsa:8973"
"D00506";"hsa:50487"
"D00619";"hsa:1558"
"D00812";"hsa:6530"
"D00043";"hsa:30814"
"D00281";"hsa:3361"
"D02068";"hsa:1129"
"D00506";"hsa:1543"
"D00326";"hsa:6532"
"D00536";"hsa:2559"
"D03880";"hsa:111"
"D02409";"hsa:55512"
"D00332";"hsa:2561"
"D00319";"hsa:27092"
"D01256";"hsa:2914"
"D01453";"hsa:774"
"D01453";"hsa:5338"
"D00611";"hsa:8843"
"D01453";"hsa:775"
"D00740";"hsa:59284"
"D01001";"hsa:1128"
"D00584";"hsa:6240"
"D00279";"hsa:51302"
"D02367";"hsa:11202"
"D00319";"hsa:1555"
"D00506";"hsa:5049"
"D02066";"hsa:1733"
"D00649";"hsa:6262"
"D00683";"hsa:112"
"D00506";"hsa:1544"
"D00524";"hsa:113"
"D00536";"hsa:2560"
"D00332";"hsa:2560"
